name,email,phone,company,trade,source,status,notes
Valley Floors & Tiles,valleyfloorswoodford@gmail.com,+442085045363,Valley Floors & Tiles,,manual,new,
Daniel Wrigglesworth,daniel.wrigglesworth@utilityumbrella.com,,Real Agent Group Ltd T/A Utility Umbrella,other,demo-request,new,"Trade: Utility / Energy
Team size: Unknown
Message: Demo request via contact form"
D. WELEH SCAFFOLDINGS,dwelchscafolding@gmail.com,07831702006,D. WELEH SCAFFOLDINGS,roofing,manual,new,"Office Number: 01634 256767

Google My Business: https://share.google/tkvlEoRqFYsNz4U9j"
Practical Roofing London,info@londonroofcompany.co.uk,02071002204,Practical Roofing London,roofing,cold-outreach,new,"Website: londonroofcompany.co.uk
Area: London
Original Industry: Roofing Contractor
Imported from Book.pdf"
Expert Roofers London,info@expertrooferslondon.co.uk,07903475939,Expert Roofers London,roofing,cold-outreach,new,"Website: expertrooferslondon.co.uk
Area: London
Original Industry: Roofing Contractor
Imported from Book.pdf"
Rushmoore Roofing,rushmooreroofinguk@gmail.com,07939488956,Rushmoore Roofing,roofing,cold-outreach,new,"Website: rushmoore-roofing.co.uk
Area: London/Essex
Original Industry: Roofing Contractor
Imported from Book.pdf"
Capital Roofing Co Ltd,info@capital-roofing.co.uk,02088585123,Capital Roofing Co Ltd,roofing,cold-outreach,new,"Website: capital-roofing.co.uk
Area: London
Original Industry: Roofing Contractor
Imported from Book.pdf"
JAS Roofing Ltd,info@jasroofingltd.co.uk,02085170025,JAS Roofing Ltd,roofing,cold-outreach,new,"Website: jasroofingltd.co.uk
Area: Essex
Original Industry: Roofing Contractor
Imported from Book.pdf"
Element Roofing,estimate@no1roofing.com,02088513211,Element Roofing,roofing,cold-outreach,new,"Website: no1roofing.com
Area: London
Original Industry: Roofing Contractor
Imported from Book.pdf"
Able Felt Roofing Ltd,admin@ablefeltroofing.co.uk,01708743396,Able Felt Roofing Ltd,roofing,cold-outreach,new,"Website: ablefeltroofing.co.uk
Area: Essex
Original Industry: Roofing Contractor
Imported from Book.pdf"
John McGuinness Roofing,info@jmcguinnessroofing.co.uk,01708735073,John McGuinness Roofing,roofing,cold-outreach,new,"Website: johnmcguinnessroofing.co.uk
Area: Essex
Original Industry: Roofing Contractor
Imported from Book.pdf"
Southern Counties Roofing Contractors,info@southerncountiesroofing.com,01245241333,Southern Counties Roofing Contractors,roofing,cold-outreach,new,"Website: southerncountiesroofing.com
Area: Essex
Original Industry: Roofing Contractor
Imported from Book.pdf"
Essex Flat Roofing Ltd,info@essexflatroofing.com,01376422218,Essex Flat Roofing Ltd,roofing,cold-outreach,new,"Website: essexflatroofing.com
Area: Essex
Original Industry: Flat Roofing Specialist
Imported from Book.pdf"
Ross Roofing,jrossroofing@gmail.com,07985399931,Ross Roofing,roofing,cold-outreach,new,"Website: rossroofing.uk
Area: Essex
Original Industry: Roofing Contractor
Imported from Book.pdf"
B.Short Roofing,ben.short@hotmail.co.uk,07979842723,B.Short Roofing,roofing,cold-outreach,new,"Website: bshortroofing.co.uk
Area: Essex/London
Original Industry: Roofing Contractor
Imported from Book.pdf"
Essex Roofing Ltd,info@essexroofing.co.uk,01277886480,Essex Roofing Ltd,roofing,cold-outreach,new,"Website: essexroofing.co.uk
Area: Essex
Original Industry: Roofing Contractor
Imported from Book.pdf"
SV Roofing Ltd,info@svrr.co.uk,08001932474,SV Roofing Ltd,roofing,cold-outreach,new,"Website: svroofing.co
Area: Kent
Original Industry: Roofing Contractor
Imported from Book.pdf"
Medway City Roofing Ltd,medwaycityroofing@outlook.com,01634776540,Medway City Roofing Ltd,roofing,cold-outreach,new,"Website: medwaycityroofing.co.uk
Area: Kent
Original Industry: Roofing Contractor
Imported from Book.pdf"
Sheldon May Roofing Contractors Ltd,info@sheldonmayroofing.co.uk,01233421913,Sheldon May Roofing Contractors Ltd,roofing,cold-outreach,new,"Website: sheldonmayroofing.co.uk
Area: Kent
Original Industry: Roofing Contractor
Imported from Book.pdf"
McColloch Roofing,info@mccollochroofing.com,02087761693,McColloch Roofing,roofing,cold-outreach,new,"Website: mccollochroofing.co.uk
Area: Kent/South London
Original Industry: Roofing Contractor
Imported from Book.pdf"
All Kent Roofing HD Ltd,allkentroofinghdltd@gmail.com,01474612108,All Kent Roofing HD Ltd,roofing,cold-outreach,new,"Website: allkentroofinghd.co.uk
Area: Kent
Original Industry: Roofing Contractor
Imported from Book.pdf"
Medway Roofing Ltd,info@medwayroofingltd.co.uk,01634510156,Medway Roofing Ltd,roofing,cold-outreach,new,"Website: medwayroofingltd.co.uk
Area: Kent
Original Industry: Roofing Contractor
Imported from Book.pdf"
Reputable Roofing Ltd,info@reputableroofingltd.co.uk,07950547475,Reputable Roofing Ltd,roofing,cold-outreach,new,"Website: reputableroofingltd.co.uk
Area: Kent
Original Industry: Roofing Contractor
Imported from Book.pdf"
Surrey Roofing Specialists,info@surreyroofingspecialists.co.uk,07946640262,Surrey Roofing Specialists,roofing,cold-outreach,new,"Website: surreyroofingspecialists.co.uk
Area: Surrey
Original Industry: Roofing Contractor
Imported from Book.pdf"
Surrey Roofing Service Ltd,info@surreyroofingservice.co.uk,01932979023,Surrey Roofing Service Ltd,roofing,cold-outreach,new,"Website: surreyroofingservice.co.uk
Area: Surrey
Original Industry: Roofing Contractor
Imported from Book.pdf"
DD Surrey Roofing,ddsurrey.roofing@mail.com,01372632642,DD Surrey Roofing,roofing,cold-outreach,new,"Website: ddsurreyroofing.co.uk
Area: Surrey
Original Industry: Roofing Contractor
Imported from Book.pdf"
Surrey Roofer (Surrey Roofing Solutions),info@surrey-roofer.co.uk,01932231983,Surrey Roofer (Surrey Roofing Solutions),roofing,cold-outreach,new,"Website: surrey-roofer.co.uk
Area: Surrey
Original Industry: Roofing Contractor
Imported from Book.pdf"
Surrey Roofing & Property Maintenance,roberto@surreyroofingpm.co.uk,07552656841,Surrey Roofing & Property Maintenance,roofing,cold-outreach,new,"Website: surreyroofingpm.co.uk
Area: Surrey
Original Industry: Roofing Contractor
Imported from Book.pdf"
